MAPID;NAME;CATEGORY1;CATEGORY2;ADDRESS;SHORT_DESCRIPTION;URL;URL2;URL3;Geom;Geo Local Area
GCP223;Park Fruit Tree Project;Greenest City Fund Project;Local-Food;Mount Pleasant, Little Mountain;Mount Pleasant, Little Mountain - Greenest City Small grants 2012 project.;http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx;;;"{""type"": ""Point"", ""coordinates"": [-123.10006000627, 49.2471100004907]}";Riley Park
GCP230;Social Community Garden;Greenest City Fund Project;Local-Food;Mount Pleasant, Little Mountain;Mount Pleasant, Little Mountain - Greenest City Small grants 2012 project.;http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx;;;"{""type"": ""Point"", ""coordinates"": [-123.100038003834, 49.2470500082506]}";Riley Park
GCP232;Laneway Planters;Greenest City Fund Project;Access-to-Nature;Mount Pleasant, Little Mountain;Mount Pleasant, Little Mountain - Greenest City Small grants 2012 project.;http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx;;;"{""type"": ""Point"", ""coordinates"": [-123.100019997794, 49.2470900123038]}";Riley Park
GCP244;Organic herb, veggie, and flower garden;Greenest City Fund Project;Local-Food;Carnegie, Strathcona, Ray-Cam - Greenest City Small grants 2012 project.;Carnegie, Strathcona, Ray-Cam - Greenest City Small grants 2012 project;http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx;;;"{""type"": ""Point"", ""coordinates"": [-123.090760004355, 49.2796699943271]}";Strathcona
GCP245;Strathcona Community Garden Lammas Day C;Greenest City Fund Project;Local-Food;Carnegie, Strathcona, Ray-Cam - Greenest City Small grants 2012 project.;Carnegie, Strathcona, Ray-Cam - Greenest City Small grants 2012 project;http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx;;;"{""type"": ""Point"", ""coordinates"": [-123.090736001537, 49.2795999905469]}";Strathcona
GCP247;Junk to Funk – Recycle Art Project;Greenest City Fund Project;Zero-Waste;Carnegie, Strathcona, Ray-Cam - Greenest City Small grants 2012 project.;Carnegie, Strathcona, Ray-Cam - Greenest City Small grants 2012 project;http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx;;;"{""type"": ""Point"", ""coordinates"": [-123.090790004126, 49.2796299977456]}";Strathcona
GCP250;At Risk Youth Housing Food Security and;Greenest City Fund Project;Local-Food;Carnegie, Strathcona, Ray-Cam - Greenest City Small grants 2012 project.;Carnegie, Strathcona, Ray-Cam - Greenest City Small grants 2012 project;http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx;;;"{""type"": ""Point"", ""coordinates"": [-123.090729997585, 49.2796399862203]}";Strathcona
GCP253;Green House for my school or daycare;Greenest City Fund Project;Lighter-Footprint;Carnegie, Strathcona, Ray-Cam - Greenest City Small grants 2012 project.;Carnegie, Strathcona, Ray-Cam - Greenest City Small grants 2012 project;http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx;;;"{""type"": ""Point"", ""coordinates"": [-123.090720007611, 49.2796259946648]}";Strathcona
GCP265;Electric Vehicle Charging Station;Private projects;Clean-Air;2083 Alma St;Jericho Village Shops. 2x J1722, located opposite No Frills on NE Wall in underground parking. Part of FCM funded trial.;http://www.plugshare.com/?location=13657;;;"{""type"": ""Point"", ""coordinates"": [-123.1857954, 49.26784259]}";West Point Grey
GCP267;Electric Vehicle Charging Station;Private projects;Clean-Air;6085 Thunderbird Boulevard;Thunderbird Parkade. 8 Public Stations;http://www.plugshare.com/?location=14212;;;"{""type"": ""Point"", ""coordinates"": [-123.2445307, 49.26067458]}";
GCP269;Electric Vehicle Charging Station;Private projects;Clean-Air;4250 Wesbrook Mall;National Research Council Canada. For NRC visitor/collaborator use only.  Access to one 120V duplex receptacle and one Level 2 charger in parking lot beside building. Access to two Level 2 chargers in rear compound.;http://www.plugshare.com/?location=15536;;;"{""type"": ""Point"", ""coordinates"": [-123.2324277, 49.24530815]}";
GCP274;Electric Vehicle Charging Station;Private projects;Clean-Air;5251 Oak Street;VanDusen Gardens. 1x Eaton J1722 and 4x 6-20R outlets (208V 15/20A) chargers.;http://www.plugshare.com/?location=7210;;;"{""type"": ""Point"", ""coordinates"": [-123.1287691, 49.2385517]}";Shaughnessy
GCP280;Electric Vehicle Charging Station;City projects;Clean-Air;160 Water Street;EasyPark Lot 31. The stall at Lot 31 is located on Level 6 on the Water Street side, to the left of the elevator lobby.;http://www.plugshare.com/?location=2798;;;"{""type"": ""Point"", ""coordinates"": [-123.1081674, 49.28417272]}";Downtown
GCP281;Electric Vehicle Charging Station;Private projects;Clean-Air;200 Granville Street;Granville Square Parkade. Located on the P2 level, customers are invited to utilize the electric car charging station for free, with payment of regular parking charges.;http://www.plugshare.com/?location=5822;;;"{""type"": ""Point"", ""coordinates"": [-123.1138206, 49.28643743]}";Downtown
GCP285;Electric Vehicle Charging Station;Private projects;Clean-Air;900 W Georgia St;Fairmont Hotel Vancouver.  The EVSE station is open to hotel guests and the public. A flat rate of $20 (facilities access fee) is applicable to non-registered guests.;http://www.plugshare.com/?location=4442;;;"{""type"": ""Point"", ""coordinates"": [-123.1209657, 49.28388013]}";Downtown
GCP289;Electric Vehicle Charging Station;City projects;Clean-Air;900 Denman St;EasyPark Lot 40. Located at the below the West End Community Centre. The stall is located on level P1 next to the elevator. These stalls are preferred stalls for electric vehicles, but are not reserved for electric vehicles at this time.;http://www.plugshare.com/?location=2799;;;"{""type"": ""Point"", ""coordinates"": [-123.136541, 49.29066527]}";West End
GCP300;Electric Vehicle Charging Station;City projects;Clean-Air;701 W Georgia St;Pacific Centre. 2 electric charge stations. Part of FCM funded trial.;http://www.plugshare.com/;;;"{""type"": ""Point"", ""coordinates"": [-123.1183849, 49.2830726]}";Downtown
GCP308;Community Garden;Private projects;Local-Food;400  Hawks St;Atira Community Garden;http://vancouver.ca/people-programs/community-gardens.aspx;;;"{""type"": ""Point"", ""coordinates"": [-123.08712100317, 49.2810913026065]}";Strathcona
GCP309;Community Garden;Private projects;Local-Food;1060  Howe St;Bosman Hotel;http://vancouver.ca/people-programs/community-gardens.aspx;;;"{""type"": ""Point"", ""coordinates"": [-123.1249964, 49.27919559]}";Downtown
GCP311;Community Garden;Private projects;Local-Food;1001  Cotton Dr;Britannia Secondary;http://vancouver.ca/people-programs/community-gardens.aspx;;;"{""type"": ""Point"", ""coordinates"": [-123.0719972, 49.27639628]}";Grandview-Woodland
GCP316;Community Garden;Private projects;Local-Food;999  Charleson St;Charleson Park;http://vancouver.ca/people-programs/community-gardens.aspx;;;"{""type"": ""Point"", ""coordinates"": [-123.1239244, 49.26670921]}";Fairview
GCP317;Community Garden;Private projects;Local-Food;2755  Cheyenne Ave;Cheyenne Community Garden;http://vancouver.ca/people-programs/community-gardens.aspx;;;"{""type"": ""Point"", ""coordinates"": [-123.0480107, 49.24129201]}";Renfrew-Collingwood
GCP326;Community Garden;Private projects;Local-Food;2250  Fraser St;Emma G Coop;http://vancouver.ca/people-programs/community-gardens.aspx;;;"{""type"": ""Point"", ""coordinates"": [-123.0889585, 49.26403425]}";Mount Pleasant
GCP332;Community Garden;Private projects;Local-Food;2075   Woodland Dr;Grandview Terrace;http://vancouver.ca/people-programs/community-gardens.aspx;;;"{""type"": ""Point"", ""coordinates"": [-123.0729995, 49.27140421]}";Grandview-Woodland
GCP333;Community Garden;Private projects;Local-Food;58 W Hastings St;Hastings Urban Farm;http://vancouver.ca/people-programs/community-gardens.aspx;;;"{""type"": ""Point"", ""coordinates"": [-123.1059953, 49.28170671]}";Downtown
GCP336;Community Garden;Private projects;Local-Food;1407  Laburnum St;Kits Village Collaborative Garden;http://vancouver.ca/people-programs/community-gardens.aspx;;;"{""type"": ""Point"", ""coordinates"": [-123.1515444, 49.27321203]}";Kitsilano
GCP338;Community Garden;Private projects;Local-Food;2776  Semlin Dr;Lakeview United Church;http://vancouver.ca/people-programs/community-gardens.aspx;;;"{""type"": ""Point"", ""coordinates"": [-123.0639879, 49.25980982]}";Kensington-Cedar Cottage
GCP340;Community Garden;Private projects;Local-Food;705  Jackson Ave;Maclean Housing;http://vancouver.ca/people-programs/community-gardens.aspx;;;"{""type"": ""Point"", ""coordinates"": [-123.0937314, 49.27845193]}";Strathcona
GCP342;Community Garden;Private projects;Local-Food;1305  W 70th Ave;Marpole Family Place;http://vancouver.ca/people-programs/community-gardens.aspx;;;"{""type"": ""Point"", ""coordinates"": [-123.1340388, 49.20847627]}";Marpole
GCP344;Community Garden;Private projects;Local-Food;3554 Sparrow Place;Matheson Heights Housing Coop;http://vancouver.ca/people-programs/community-gardens.aspx;;;"{""type"": ""Point"", ""coordinates"": [-123.0262789, 49.21312391]}";Killarney
GCP350;Community Garden;Private projects;Local-Food;2475  Franklin Street;Nis'gaa Ts'amiks Community Garden;http://vancouver.ca/people-programs/community-gardens.aspx;;;"{""type"": ""Point"", ""coordinates"": [-123.0547691, 49.28232584]}";Hastings-Sunrise
GCP353;Community Garden;Private projects;Local-Food;1200  Parker St;Purple Thistle Garden I;http://vancouver.ca/people-programs/community-gardens.aspx;;;"{""type"": ""Point"", ""coordinates"": [-123.0779969, 49.27580206]}";Strathcona
GCP359;Community Garden;Private projects;Local-Food;11 W 10th Ave;Tenth Church;http://vancouver.ca/people-programs/community-gardens.aspx;;;"{""type"": ""Point"", ""coordinates"": [-123.1049703, 49.26209952]}";Mount Pleasant
GCP361;Community Garden;Private projects;Local-Food;5332   Windsor St;UP! Elgin community garden;http://vancouver.ca/people-programs/community-gardens.aspx;;;"{""type"": ""Point"", ""coordinates"": [-123.0839809, 49.23647095]}";Kensington-Cedar Cottage
GCP362;Community Garden;Private projects;Local-Food;151 W 1st  Ave;Village on False Creek;http://vancouver.ca/people-programs/community-gardens.aspx;;;"{""type"": ""Point"", ""coordinates"": [-123.1089967, 49.27030039]}";Mount Pleasant
GCP400;Food Scraps Drop off at Farmers Markets;Private projects;Local-Food;1100 Block of Comox Street across from Nelson Park at Mole Hill;West End Farmers Market Saturdays 9am-2pm. End Oct 19.;http://foodscrapsdropspot.tumblr.com/;;;"{""type"": ""Point"", ""coordinates"": [-123.130677, 49.28267161]}";West End
GCP001;River District Energy Utility Project;Private projects;Climate-Leadership;8683 Kerr St;BC's only publicly regulated developer-owned District Energy Utility (DEU);http://www.riverdistrict.ca/about-here/district-energy-utility/;;;"{""type"": ""Point"", ""coordinates"": [-123.0425051, 49.20627278]}";Killarney
GCP006;LEED Platinum Core and Shell Certified i;Private projects;Green-Buildings;2930 & 2940 Virtual Way;Broadway Tech Centre 5&7;http://www.broadwaytechcentre.com/features_campusexperience.html;;;"{""type"": ""Point"", ""coordinates"": [-123.0440375, 49.2610221]}";Renfrew-Collingwood
GCP007;LEED Platinum Building Certified in 2010;City projects;Green-Buildings;1 Athletes Way;Creekside Community Recreation Centre;http://www.greenbuildingaudiotours.com/buildings/sefc_community_centre;;http://vancouver.ca/parks-recreation-culture/creekside-community-recreation-centre.aspx;"{""type"": ""Point"", ""coordinates"": [-123.1058119, 49.27177976]}";Mount Pleasant
GCP009;LEED Platinum Building Certified in 2010;Private projects;Green-Buildings;3987 W 21st AV;Kerchum Residence;http://www.cagbc.org/Content/NavigationMenu/Programs/LEED/ProjectProfilesandStats/default.htm;;;"{""type"": ""Point"", ""coordinates"": [-123.1931104, 49.25386623]}";Dunbar-Southlands
GCP013;LEED Gold Commercial Interior Certified;Private projects;Green-Buildings;555 W 12th AV;MHPM Project Leaders - Vancouver Office;http://www.cagbc.org/Content/NavigationMenu/Programs/LEED/ProjectProfilesandStats/default.htm;;;"{""type"": ""Point"", ""coordinates"": [-123.116365, 49.26071507]}";Fairview
GCP015;LEED Gold Canada for Existing Buildings:;Private projects;Green-Buildings;666 Burrard St;Park Place;http://www.cagbc.org/Content/NavigationMenu/Programs/LEED/ProjectProfilesandStats/default.htm;;;"{""type"": ""Point"", ""coordinates"": [-123.1191367, 49.28528046]}";Downtown
GCP016;LEED Gold Building Certified 2012;City projects;Green-Buildings;85 W 1st AV;The Salt Building;http://www.vancitybuzz.com/2012/03/vancouvers-salt-building-a-southeast-false-creek-landmark/;;;"{""type"": ""Point"", ""coordinates"": [-123.1063668, 49.27070318]}";Mount Pleasant
GCP017;LEED Gold Building Certified 2011;Private projects;Green-Buildings;100 W 49th Av;Langara College, Students' Union and C Buildings;http://www.langara.bc.ca/index.html;;;"{""type"": ""Point"", ""coordinates"": [-123.10892001986, 49.2248320062448]}";Oakridge
GCP021;LEED Gold Building Certified 2011;City projects;Green-Buildings;6810 Main St;Sunset Community Centre;http://www.greenbuildingaudiotours.com/buildings/sunset_community_centre;;http://www.mysunset.net/;"{""type"": ""Point"", ""coordinates"": [-123.1011826, 49.22284563]}";Sunset
GCP022;LEED Gold Building Certified 2010;Private projects;Green-Buildings;122 Walter Hardwick Av;SEFC Parcel 5 (Millennium Water / City of Vancouver Housing);http://www.millenniumdevelopment.com/Olympic-Village/;;http://www.gbig.org/activities/cagbc-10520;"{""type"": ""Point"", ""coordinates"": [-123.1073258, 49.27092693]}";Mount Pleasant
GCP024;LEED Gold Building Certified 2010;Private projects;Green-Buildings;1616 Columbia St;Millennium Water - 1616 Columbia Street (Parcel 3);http://www.millenniumdevelopment.com/Olympic-Village/;;http://www.gbig.org/activities/cagbc-10503;"{""type"": ""Point"", ""coordinates"": [-123.1092322, 49.27073832]}";Mount Pleasant
GCP025;LEED Gold Building Certified 2010;Private projects;Green-Buildings;1625 Manitoba St;Millennium Water- 1625 Manitoba Street (Parcel 6);http://www.millenniumdevelopment.com/Olympic-Village/;;http://www.gbig.org/activities/cagbc-10506;"{""type"": ""Point"", ""coordinates"": [-123.1066916, 49.27154805]}";Mount Pleasant
GCP026;LEED Gold Building Certified 2010;Private projects;Green-Buildings;1633 Ontario St;Millennium Water- 1633 Ontario Street (Parcel 10);http://www.millenniumdevelopment.com/Olympic-Village/;;http://www.gbig.org/activities/cagbc-10509;"{""type"": ""Point"", ""coordinates"": [-123.1045843, 49.27150858]}";Mount Pleasant
GCP028;LEED Gold Building Certified 2010;Private projects;Green-Buildings;1661 Ontario St;Millennium Water - 1661 Ontario Street (Parcel 9);http://www.millenniumdevelopment.com/Olympic-Village/;;http://www.gbig.org/activities/cagbc-10517;"{""type"": ""Point"", ""coordinates"": [-123.1047594, 49.27050528]}";Mount Pleasant
GCP039;Van Dusen Garden’s Visitor Centre Living;City projects;Green-Buildings;5251 Oak St;Canada's first Living Building - generates all of its own power, and treats all of its own waste water.;http://vancouver.ca/vandusen/capitalproject/philosophy.htm;;http://www.ecohome.net/news/latest/vandusen-botanical-garden-visitor-centre;"{""type"": ""Point"", ""coordinates"": [-123.12877, 49.238553]}";Shaughnessy
GCP045;New Bike pumps;City projects;Green-Transportation;Science World;First of 2 bike pumps installed in 2013.;http://vancouver.ca/streets-transportation/bicycle-parking-racks-and-corrals.aspx;;;"{""type"": ""Point"", ""coordinates"": [-123.1029899, 49.27335957]}";Downtown
GCP046;iGo;City Studio Project;Green-Transportation;Hornby and Seaside;Spring 2013 City Studio Project - iGo fills gaps in the cycling network with signage and street paint;http://citystudiovancouver.com/projects/igo-filling-gap-in-the-cycling-network/;;;"{""type"": ""Point"", ""coordinates"": [-123.133726, 49.2749122]}";Downtown
GCP051;Bikes N Business;City Studio Project;Green-Transportation;243 Union St;Fall 2012 City Studio Project - Developed  solutions for businesses to benefit from encouraging cycling;http://citystudiovancouver.com/projects/bike-n-business/;;;"{""type"": ""Point"", ""coordinates"": [-123.098056, 49.27772105]}";Strathcona
GCP052;Compost Collective;City Studio Project;Zero-Waste;1800 Spyglass Pl;Fall 2012 City Studio Project - 3 food scraps diversion pilot projects in multi-family buildings.;http://citystudiovancouver.com/projects/compost-collective/;;;"{""type"": ""Point"", ""coordinates"": [-123.1157045, 49.27031568]}";Fairview
GCP056;ResponsibiliTREES;City Studio Project;Access-to-Nature;Mount Pleasant neighbourhood;Spring 2012 City Studio Project - Project created a framework and recommendations for a residential planting strategy;http://citystudiovancouver.com/projects/150000-trees/;;;"{""type"": ""Point"", ""coordinates"": [-123.107650003003, 49.2582799874185]}";Mount Pleasant
GCP057;Vancouver Orphaned Spaces;City Studio Project;Access-to-Nature;Grandview-Woodlands neighbourhood;Spring 2012 City Studio Project - Mapping orphaned public spaces in the neighbourhood of Grandview-Woodlands;http://citystudiovancouver.com/projects/mapping-framing-vacant-spaces/;;;"{""type"": ""Point"", ""coordinates"": [-123.070304, 49.26918782]}";Grandview-Woodland
GCP064;Kickstand;Private projects;Green-Transportation;1739 Venables St;Kickstand offers accessible work space for you to fix your bike in a supportive atmosphere.;http://eastvankickstand.org/;;;"{""type"": ""Point"", ""coordinates"": [-123.0703298, 49.27485608]}";Grandview-Woodland
GCP065;Vancouver Area Cycling;Greenest City Fund Project;Green-Transportation;3 W 3rd Av;2012 Greenest City Community Grant Fund project. To create bicycle skills course for low-income individuals.;http://vancouver.ca/news-calendar/city-and-vancouver-foundation-announce-winners-of-greenest-city-community-grants-for-2012.aspx;;http://bikehub.ca/;"{""type"": ""Point"", ""coordinates"": [-123.1047715, 49.26833379]}";Mount Pleasant
GCP066;Mount Pleasant Neighbourhood House;Greenest City Fund Project;Zero-Waste;800 E Broadway;2012 Greenest City Community Grant Fund project. A project for multi-unit residential waste diversion.;http://vancouver.ca/news-calendar/city-and-vancouver-foundation-announce-winners-of-greenest-city-community-grants-for-2012.aspx;;http://www.mpnh.org/;"{""type"": ""Point"", ""coordinates"": [-123.0870213, 49.26232624]}";Mount Pleasant
GCP069;Parklets;City projects;Access-to-Nature;800 44th Ave;Hot Tubs at Fraser and 44th. A permanent mini-park in the city.;http://vancouver.ca/streets-transportation/reducing-cars-on-city-streets.aspx;;http://www.vancitybuzz.com/2012/07/parklet-robson-street-urban-pasture-across-cafe-crepe/;"{""type"": ""Point"", ""coordinates"": [-123.0907438, 49.23028799]}";Sunset
GCP073;Community orchards;Private projects;Local-Food;3434 Falaise Av;At Falaise Park, 25 new fruit trees were planted in 2010. In partnership with the Renfrew-Collingwood Food Security Institute.;http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=153;;;"{""type"": ""Point"", ""coordinates"": [-123.0295505, 49.25535528]}";Renfrew-Collingwood
GCP074;Community orchards;City projects;Local-Food;7402 Ross Street;At Ross Park, 15 new fruit trees were planted in 2011.;http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=188;;;"{""type"": ""Point"", ""coordinates"": [-123.0830796, 49.2155074]}";Sunset
GCP075;Community orchards;City projects;Local-Food;4701 Dunbar Street;At Memorial Park West, 15 new fruit trees were planted in 2011.;http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=39;;;"{""type"": ""Point"", ""coordinates"": [-123.1852497, 49.24429768]}";Dunbar-Southlands
GCP076;Community orchards;City projects;Local-Food;390 E 36th Avenue;At Cartier Park, 6 apple trees were planted in 2011.;http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=162;;;"{""type"": ""Point"", ""coordinates"": [-123.0972126, 49.23804106]}";Riley Park
GCP078;Traynor-Mayor Residence;Private projects;Green-BuildingsLocal-Food;3839 Ontario St;Passive House single-family home development;http://www.kingdombuilders.ca/;;;"{""type"": ""Point"", ""coordinates"": [-123.105103, 49.247715]}";Riley Park
GCP082;Community orchards;Private projects;Local-Food;3470 Crowley Drive;At Gaston Park, In partnership with the Renfrew-Collingwood Food Security Institute.;http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=155;;;"{""type"": ""Point"", ""coordinates"": [-123.0306838, 49.23657846]}";Renfrew-Collingwood
GCP084;Community orchards;City projects;Local-Food;110 W 7th Av;At Jonathan Rogers Park, 30 different types of fruit trees.;http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=137;;;"{""type"": ""Point"", ""coordinates"": [-123.1093149, 49.26475931]}";Mount Pleasant
GCP088;Community Garden;Private projects;Local-Food;2267 and 2277 E 24th Ave;C.R.O.W.S. Community Garden began in 2010 and now has about 30 members.;http://crowspoint.org;;;"{""type"": ""Point"", ""coordinates"": [-123.058509, 49.24909]}";Kensington-Cedar Cottage
GCP094;Community orchards;City projects;Local-Food;2390 Brunswick St;At Guelph Park, 11 fruit trees planted in 2012.;http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=136;;;"{""type"": ""Point"", ""coordinates"": [-123.0956251, 49.2639984]}";Mount Pleasant
GCP095;Community orchards;Private projects;Local-Food;Raymur St. and Malkin Av;A partnership with the Environmental Youth Alliance, Vancouver Food Bank, The Strathcona Community Centre, The Raycam Community Centre, and neighbours.;http://www.eya.ca/eya-gardens.html;;;"{""type"": ""Point"", ""coordinates"": [-123.0837224, 49.27370676]}";Strathcona
GCP098;Community orchards;Greenest City Fund Project;Local-Food;3155 E 27th Av;2012 Part of the Windermere organic garden at Strathcona Windermere High School.;;;;"{""type"": ""Point"", ""coordinates"": [-123.036666995955, 49.2462861133489]}";Renfrew-Collingwood
GCP101;Tree City Canada Association;Greenest City Fund Project;Access-to-Nature;#110-1555 Charles Street;2012 Greenest City Community grant fund recipient.  To support residents and business to plant trees on private property.;http://vancouver.ca/news-calendar/city-and-vancouver-foundation-announce-winners-of-greenest-city-community-grants-for-2012.aspx;;http://treecitycanada.ca/;"{""type"": ""Point"", ""coordinates"": [-123.0718935, 49.27308575]}";Grandview-Woodland
GCP103;Young Naturalists' Club of BC Society;Greenest City Fund Project;Access-to-Nature;1620 Mount Seymour Rd;2012 Greenest City Community grant fund project. To connect residents to nearby natural spaces.;http://vancouver.ca/news-calendar/city-and-vancouver-foundation-announce-winners-of-greenest-city-community-grants-for-2012.aspx;;http://www.ync.ca/;"{""type"": ""Point"", ""coordinates"": [-123.1151705, 49.28328672]}";Downtown
GCP104;Evergreen;Greenest City Fund Project;Lighter-Footprint;107 - 555 Great Northern Way;2012 Greenest City Community grant fund project. To help residents of the Green Bloc reduce their ecological footprint.;http://vancouver.ca/news-calendar/city-and-vancouver-foundation-announce-winners-of-greenest-city-community-grants-for-2012.aspx;;http://www.evergreen.ca/;"{""type"": ""Point"", ""coordinates"": [-123.0912938, 49.26749501]}";Strathcona
GCP108;Sole Food Farms - urban farms;Private projects;Local-Food;399 Hawks Av;1 of 4 Sole Food Urban Farms producing local produce and providing jobs for people with barriers.;http://solefoodfarms.com/;;;"{""type"": ""Point"", ""coordinates"": [-123.0871861, 49.28015614]}";Strathcona
GCP112;Food Scraps Drop off at Farmers Markets;Private projects;Local-Food;1100 Comox St;West End Community Center Saturdays 10am-12pm;http://foodscrapsdropspot.tumblr.com/;;;"{""type"": ""Point"", ""coordinates"": [-123.136370984069, 49.2904559901367]}";West End
GCP118;Farmers Markets;Private projects;Local-Food;East Boulevard between 37th and 41st Avenue;Kerrisdale Village Farmers Market Saturdays, June 15 - October 12, 2013.;http://www.eatlocal.org/;;;"{""type"": ""Point"", ""coordinates"": [-123.1538638, 49.23632314]}";Shaughnessy
GCP121;Farmers Markets;Private projects;Local-Food;1100 Block of Comox Street across from Nelson Park at Mole Hill;West End Farmers Market Saturdays Jun 1-Oct 19.;http://www.eatlocal.org/;;;"{""type"": ""Point"", ""coordinates"": [-123.130684984169, 49.2826714937312]}";West End
GCP122;Musqueam Youth for Community Sustainabil;Greenest City Fund Project;Zero-Waste;6615 Salish Drive;2012 Greenest City Generation Green grant project. To engage youth in eliminating waste and growing sustainability practices.;http://vancouver.ca/news-calendar/city-and-vancouver-foundation-announce-winners-of-greenest-city-community-grants-for-2012.aspx;;;"{""type"": ""Point"", ""coordinates"": [-123.1974393, 49.22654165]}";Dunbar-Southlands
GCP124;Fresh Roots Urban Farm Society & School;Greenest City Fund Project;Local-Food;333 Terminal AV;2012 Greenest City Community grant fund project. To develop schoolyard market gardens at Vancouver Technical and David Thompson Secondaries.;http://vancouver.ca/news-calendar/city-and-vancouver-foundation-announce-winners-of-greenest-city-community-grants-for-2012.aspx;;http://freshrootsurbancsa.wordpress.com/;"{""type"": ""Point"", ""coordinates"": [-123.095807990219, 49.2721812959632]}";Strathcona
GCP125;Kitsilano Christian Community;Greenest City Fund Project;Local-Food;16th and Pine St;2012 Greenest City Community grant fund project. To increase community garden plots.;http://vancouver.ca/news-calendar/city-and-vancouver-foundation-announce-winners-of-greenest-city-community-grants-for-2012.aspx;;http://www.kitschurch.com/;"{""type"": ""Point"", ""coordinates"": [-123.1434925, 49.26643763]}";Fairview
GCP128;Westside Food Collaborative;Greenest City Fund Project;Local-Food;3683 W 4th Av;2012 Greenest City  Community grant fund project. Feasibility study for mobile produce market.;http://vancouver.ca/news-calendar/city-and-vancouver-foundation-announce-winners-of-greenest-city-community-grants-for-2012.aspx;;http://www.kitshouse.org/programs/food-security/westside-food-security-collaborative/;"{""type"": ""Point"", ""coordinates"": [-123.1853605, 49.26867146]}";Kitsilano
GCP136;Still Moon Arts Society;Greenest City Fund Project;Access-to-Nature;3900 Renfrew St;2012 Greenest City Generation Green grant project. Still Creek Stewardship.;http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx;;http://stillmoon.org/;"{""type"": ""Point"", ""coordinates"": [-123.0440588, 49.25016535]}";Renfrew-Collingwood
GCP137;McCreary Youth Advisory & Action Council;Greenest City Fund Project;Green-Transportation;3552 E Hastings St;2012 Greenest City Generation Green grant project. WE-CYCLE: Youth Cycle for Greener Transportation.;http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx;;http://www.mcs.bc.ca/yac;"{""type"": ""Point"", ""coordinates"": [-123.0271819, 49.28110006]}";Hastings-Sunrise
GCP141;The Magic Roundabout;Greenest City Fund Project;Lighter-Footprint;South Van - Collingwood;South Van - Collingwood - Greenest City Small grants 2012 project.;http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx;;;"{""type"": ""Point"", ""coordinates"": [-123.039012003054, 49.2442923041365]}";Renfrew-Collingwood
GCP142;Schoolyard Community Chicken Coop;Greenest City Fund Project;Lighter-Footprint;South Van - Collingwood;South Van - Collingwood - Greenest City Small grants 2012 project.;http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx;;;"{""type"": ""Point"", ""coordinates"": [-123.039003010963, 49.2442400090667]}";Renfrew-Collingwood
GCP150;Sexsmith School Sustainability Program;Greenest City Fund Project;Lighter-Footprint;South Van - Collingwood;South Van - Collingwood - Greenest City Small grants 2012 project.;http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx;;;"{""type"": ""Point"", ""coordinates"": [-123.0390108, 49.24433368]}";Renfrew-Collingwood
GCP151;Beautifying Fraser Street;Greenest City Fund Project;Access-to-Nature;South Van - Collingwood;South Van - Collingwood - Greenest City Small grants 2012 project.;http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx;;;"{""type"": ""Point"", ""coordinates"": [-123.039025991314, 49.244265012789]}";Renfrew-Collingwood
GCP164;Community Mural;Greenest City Fund Project;Lighter-Footprint;Cedar Cottage, Kensington and Hastings-Sunrise;Kensington, Cedar Cottage - Greenest City Small grants 2012 project.;http://vancouver.ca/news-calendar/grants-from-greenest-city-fund-top-500-000-in-first-year-.aspx;;;"{""type"": ""Point"", ""coordinates"": [-123.059350005348, 49.258169989328]}";Kensington-Cedar Cottage
